
'SRNPBN2PIO37', 'C',
'8ZULBKID026Z', 'D',
'KVQ8MDDNIAHF', '0',
'YFN9GQ1B5X6G', 'D',
'N4XJ2M2K40XF', '0',
'Z02NF6YCOAS7', '0',
'6MEASGRWARQ0', 'D',
'0EIW28LAZE3F', '0',
'7QAPXVB2Y79U', 'D',
'02CQT43583TH', 'D',
'ZHUEOUGMIKM7', '0',
'6LCCBLMRW1BT', 'D',
'9EBP80OPDQU5', '0',
'T9HYCOFI35VS', 'D',
'7G3O0YGDHP10', '0',
'MNZMIKOCK6UM', '0',
'68CDJJS4727B', '0',
'6XEIANCO38SR', '0',
'3M55CYYIEGY2', 'C',
'YBSE6PTMR5KY', '0',
'DYATOOLOXTXF', 'D',
'PGTK2W6JFOY8', 'D',
'9WVZJ5J3568V', 'D',
'YDEGP1MZFFP2', 'D',
'D4UP0YMU7C4W', '0',
'5PHFV22KADBE', 'D',
'XY7GF935Z79G', '0',
'0D03FUJTKEUU', '0',
'J76UBQIM9XWO', 'B',
'7UR1K9E2P8KO', 'D',
'0CI7PQJUAM92', '0',
'PS5U46Y3R1EA', '0',
'HSU7W7Y74IHP', 'D',
'YPJHJM71D148', '0',
'VBSDRR04QEPV', 'B',
'QAP9NG9LNZ53', '0',
'6VQWDRSYL5I7', 'D',
'1ERGFUC7YRZC', 'D',
'U07P8K90Z0AK', 'D',
'AXFUVNH2SQTT', 'D',
'P8JWBNTQKN6C', 'D',
'HZ1SAMXJ148Y', '0',
'4CK0DIVJRXMC', '0',
'X7TSS6K5KMNM', '0',
'KANKV5C0SA4J', 'D',
'RRZF7AX06NBY', '0',
'I7DQGSHE9QE2', 'D',
'LQZEULHMH6UG', 'D',
'8BD10JKPVKK8', 'C',
'5ECLLK1025BF', '0',
'YZLXP7XYRXE3', 'B',
'84HDR7ZNP3K7', 'D',
'U0HJ7H44KQ0F', '0',
'PNSZPFPZZ7EY', 'D',
'O7CJ3WHMD8E5', '0',
'HCPQ17RM1R8G', 'D',
'QSEFU1T7HR03', '0',
'93SFQTZQPY2L', '0',
'SFGEZZ4XK1KY', '0',
'T67DKQOWQ7CP', 'C',
'711YVUJXX9CQ', '0',
'GXG47OEXX2CA', '0',
'SKR3305IFM87', '0',
'WFZTIIETEA7V', '0',
'QPL5NUCL0DVY', 'D',
'4TPRDCPHOHVN', 'D',
'3NE0F5SUAZRU', '0',
'AMF630AKYJ7L', '0',
'0GFBT7WAEC5F', 'D',
'RZ0BLCNU2ECS', '0',
'8GYH5DY18WP4', 'D',
'MECWE33ZI600', 'D',
'KVJX40DEMYKG', 'D',
'3EX5ZL46M6K0', 'D',
'VTXN2F3TGCUT', '0',
'PP73FDWPB3B0', '0',
'8AVE5VD4W9JJ', 'C',
'WEEDK8W2ERM0', '0',
'E43E8SGC6UAU', 'D',
'IU0OJTC4TKXO', 'D',
'2KGDAC2FMVTP', '0',
'C7QDJDIGCDTY', 'D',
'HTAU17HU0P13', '0',
'STDR9PMN1PX0', 'D',
'J2P2NSVTK53P', '0',
'FVC76KKQQUTJ', '0',
'SGUPHMXOQX3P', 'D',
'5IT331O0YE2F', '0',
'PX4K280WVX7P', 'D',
'43WPYZBZP12R', 'D',
'IGDT3LF1Q9DL', 'D',
'C464RJCY2MQK', '0',
'SYKVYGFQ7GKU', 'C',
'VP59MMT92CBZ', 'D',
'EA4NV627ZH2M', 'D',
'PNYZU4CEM4UA', '0',
'9FKKB7WC4X78', 'D',
'EJVNJATA42CO', 'D',
'NMZ2SOAWEPOV', 'D',
'TWJDLXKX5C2L', '0',
'QPXEFQSOUBHI', '0',
'U86HA3ZE4VMH', '0',
'G7PN7E1HJIRG', '0',
'O678EOEISGWX', '0',
'WZ1SL8F1FMJV', '0',
'KYIIW5IEDP86', 'D',
'WXHNH14O8A7X', '0',
'4F3DTSQO724E', '0',
'T8EVSQU9IG2Y', '0',
'XHHW1YVZZGF4', 'D',
'GHJ5F3FIG3HS', '0',
'QT85JT6UD1DK', 'D',
'IR1D4I6LCNEJ', 'D',
'47EIIF49AO6Z', '0',
'T9EDZ5JJER1O', '0',
'NXXIA0FTRAGH', '0',
'K45OZM0V66J1', 'D',
'FTH7PXCUH5XW', '0',
'KNNCGWR1TM4Z', '0',
'W87AIYKU5239', '0',
'69CCL4MT3N7U', '0',
'CCVXJTZBATY7', '0',
'VYLKETPC1N27', '0',
'YQ1XNHN995II', '0',
'Z8GW64HQ1J4S', '0',
'S8BZQ0UKJLCH', 'D',
'601WT7K8VXQ3', '0',
'N0IQPJPFIPWC', '0',
'9SBZOFKWZAVO', 'C',
'6UTNRUUWKKF4', 'C',
'H5Y5TA0EWFCD', 'D',
'2M3N8R550ZEE', '0',
'C69C8ZX7JC2H', 'D',
'T2B6IPMXC9JN', 'D',
'LBRKZSIQN0WQ', 'D',
'W3EPHNE498JO', 'D',
'ALAGYLNGF1Q8', '0',
'TA3P25K64IUT', '0',
'OGSBDSD5GGQO', 'D',
'IBY6YYP0NBH7', 'D',
'513H1YUCQTK1', 'C',
'OXQ35HHL9NFC', '0',
'WZ5L3X6NQXJM', '0',
'PY5QPRYYD1L7', '0',
'FP903GXEH0UW', 'D',
'0VIUQGBHOB80', 'D',
'IT9YU6HSU5ER', 'D',
'0JFLVMK2C58L', '0',
'0WZ9RO79Q90K', '0',
'QZQPP6UNPZAC', '0',
'T8ZPJZTORXM9', 'D',
'SIAWIGSX7DHH', 'D',
'LZJIE3CLGD2Q', '0',
'QXYQ4SPPYFNO', '0',
'59GHQVAC4IOR', '0',
'NGWYVO0R3PDO', '0',
'MJYIWHKIR7W4', 'D',
'JP4R3Y4UU3KX', '0',
'SWT4T7AWC8TU', '0',
'FN8FJMJ13ECU', '0',
'GN1UFSIB9ZP6', '0',
'UNUH0LUOH8K9', '0',
'YE2Q5M561UF0', '0',
'YGN2K8N29YHZ', 'D',
'YL9GKIQJ40WP', 'D',
'UMY8L5REH7V4', '0',
'LW7KTR9MDAP2', '0',
'JVB7S9KNBASH', '0',
'7XO7BX8RX162', 'D',
'A023KCLCV4F7', 'D',
'BVPWWYJL6GC0', 'D',
'P98WJR5ZZGO0', '0',
'JLBKSL7VXBGC', '0',
'NIAH87OWFNN1', '0',
'WTAZL28WSHJW', '0',
'CGCFPGAQZVST', 'D',
'ZW49R7LE45EA', 'D',
'T7E85UYIRDY7', '0',
'TUQHUYUXMH2B', 'D',
'GCIX3Q7L3N9J', 'D',
'A40QHAUBVR84', '0',
'NGH1ILUPXTGP', 'D',
'8WB4MYO8SXFL', 'C',
'0XU1H4LJCMB3', 'D',
'NZU071UTYHP1', 'D',
'NHI8RO91GIWI', '0',
'T7W392G9T95D', '0',
'C4P0F82V1EQH', '0',
'51Y0SXX6OL5X', '0',
'Q0ECUFRNDXMN', 'D',
'B53PBS1YO8PG', '0',
'7D3DO5HR4CNI', 'D',
'52BBUTUAFO00', '0',
'XGHHR5QOBWTE', 'B',
'4492A1VK1ZCT', 'D',
'ATMHCGMIUGCJ', 'D',
'0K3TOITDR3JP', '0',
'0L5VPQ8SMD2V', '0',
'O6DN0HVEZ32S', '0',
'4HNICYIXZI0U', 'D',
'0K1X0UQGSTHG', 'D',
'QRE5VQ4NAAJS', '0',
'ZIGK9S6KQZH1', 'D',
'M3X8BT6DA8BM', '0',
'96NC88YGP366', 'C',
'2P3M4TBN0VXW', '0',
'R34KDRA29C7G', 'D',
'CFGMQYBXOJUE', 'D',
'6TX2902A623H', '0',
'3T5VKDY07VZI', 'B',
'XW3SXU19675E', 'D',
'4AYS6NGY5AWV', 'D',
'9049IICWR8T6', '0',
'8X44L3UE7VYK', '0',
'1G8I1JKHYSTU', '0',
'CKYCAGWEJRA8', 'D',
'IUJ4ANIX0COP', '0',
'F2RMIHJUSHZ1', '0',
'LXNA7JGFLSV0', '0',
'N9075DCYZ2DS', 'D',
'ACVNWJHE8UJJ', 'D',
'52JIY9Q9EU3E', '0',
'W3TYKKKVYOU2', '0',
'0CZU212SDDH0', '0',
'1AJDEOINMX7I', '0',
'2RGH8UZ87HRT', '0',
'N056J2M1DEMF', '0',
'FRHPTUDC75PW', 'D',
'SMI4W5YKY86M', 'D',
'489M2K9VRWI4', 'B',
'J3UAU1LCKWNZ', 'D',
'A1YT0IWH5ESB', '0',
'IFZGA7EL26RR', '0',
'0ZLJBF2MVJYV', 'C',
'V69WUZF2UHWT', 'D',
'72BTMNIFZ6SI', 'D',
'65DLESJ4O0CK', 'D',
'RW6MU4061TWG', 'D',
'WY4VJ803UR5F', '0',
'8OUH260S0RXV', 'D',
'R0PGQLLC85L1', '0',
'64J5S68Q8NC6', '0',
'65FQQ8U1BNK1', 'D',
'GR45R5Y9BD0F', 'D',
'M9VAM3F7XR1N', '0',
'A3TIPHY7J97D', 'D',
'RUDM4KMCDHG7', '0',
'0IX7TXSQEWWD', 'C',
'WT5MI94KVGOE', 'C',
'KQXK3OIWJR3D', 'D',
'E7WWACX2T5Z1', '0',
'6QQM21Y4DJOO', '0',
'IL4D9QVL5PV1', '0',
'2JJMZUO85PZL', '0',
'I3SISP0H7ZGN', '0',
'CVYKGMQX23N3', 'D',
'1XTJD45DY2S6', '0',
'SUWI9FERQ9Y4', '0',
'3CLDHP0W485L', '0',
'Q8OFN0L8TD58', 'D',
'XTFK974XYLUZ', 'D',
'A5TYE61TIPOJ', '0',
'B5XXGWWQK8Y5', '0',
'IINV6I8SSGVP', 'D',
'TIN2KGW8DHNZ', '0',
'HYFR09I4HUQT', '0',
'UUTR4ZANNSGS', '0',
'CRBAXZBNIY6Y', '0',
'R9K86EYH8XXW', 'D',
'5HSOXSSC13YM', 'D',
'RO4BEND0M6JV', 'D',
'BDZ7OE80FDPN', '0',
'NK4GRMK1955R', 'D',
'B4BRTIQ0CGBA', 'D',
'7QLABIYA1959', 'D',
'QRTTQPDWZU23', '0',
'CZWDZBF8H2FZ', '0',
'V9JDA7D338NS', '0',
'QEWZC97M5QW7', 'D',
'MUYA60OT3DTM', 'D',
'1ZSBLEAVMGOJ', '0',
'SI3XKU9BU5ZE', '0',
'J86TOVMYB0HJ', 'D',
'27UEHOYJOCB4', 'D',
'XS4FB3A8OV42', '0',
'10P2B5UJC15M', '0',
'6M8EMS769MRH', 'D',
'2BH3AFBY6OLL', 'D',
'928O3MADL945', '0',
'6DZNGESVGOWH', 'D',
'87GE0RUI27Q6', 'D',
'FRJL6W81X2G6', 'D',
'1R02BTE77IW1', '0',
'8CPA25BETEXG', 'D',
'V5DRM20G4POF', '0',
'82Q7AGMOL0SI', 'D',
'I4URGUUXFK4H', 'D',
'269U3T526SC9', '0',
'H0G4B7ON5T4E', '0',
'8W449VKLW8GM', 'D',
'A10HLQ6TM7U8', '0',
'NADBMCR2SWNJ', 'D',
'97KNSO9IEA3Y', '0',
'XPS46X3IWUI1', '0',
'128ISVUL2217', '0',
'9VAVS5J39BCP', '0',
'LM2UKMRHD3WN', '0',
'Y3S1ZLCDZ050', '0',
'7W80L2VNBXD3', '0',
'3MQPC03AN0B5', '0',
'X4BRZ56Q78A0', 'D',
'9GVYJ5VHRYG3', '0',
'AYYZO0K4FPNO', '0',
'58L4CP1AWD2L', '0',
'XP5EEHMC8AZ0', '0',
'6VEHAGC2I816', '0',
'U7LV1MIDSWV6', 'D',
'9AAIA7KKLKF1', '0',
'EC7BC6JTPFST', '0',
'ZVL4FUSLVBWP', '0',
'R20EAMB9TOY8', '0',
'JA512O2RTGO6', 'D',
'PKGANXYF9FJP', '0',
'XYNCSS2BTH2Z', 'D',
'MS9MQGH9E5Z3', '0',
'3K30AH7XSMLJ', '0',
'9QXJNJNJJBZ6', '0',
'YCZMO26JSERI', 'D',
'5AI9WXY4H0KY', '0',
'L9JAAS2QP3OY', '0',
'01E08CREFLLI', '0',
'VLSUS4W41ROB', 'D',
'6SAEP1KENCX0', '0',
'IRZVN5YAZ83Z', '0',
'YYI9STKIYHJ1', '0',
'KFO8SHJQW0QT', '0',
'AIVCAU68WBX8', '0',
'J0LX58IZVFSM', '0',
'OFI4MGMDZJLF', '0',
'2HOHZ6VILAAK', 'D',
'XBFDVL2XF7W7', 'D',
'XSE677OBL9W7', 'D',
'WSBEE2BSX78T', '0',
'RFEI3J6VP40Z', 'D',
'Q4GN5Z07C1ZU', '0',
'7110KYTNOR8N', 'D',
'QOM83ID3J3RK', '0',
'KLJYPN21831T', 'D',
